E1111 02:34:08.780604  179064 kafka_exporter.go:413] Cannot get current offset of topic OMOF_VEHICLE_BARRIER_INFO_RELATED_EVENTS partition 0: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:08.782545  179064 kafka_exporter.go:413] Cannot get current offset of topic OMOF_ENCODER_INFO partition 0: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:08.790591  179064 kafka_exporter.go:413] Cannot get current offset of topic OMOF_DECODER_INFO_BATCH partition 0: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:08.791551  179064 kafka_exporter.go:413] Cannot get current offset of topic OMOF_PERSON_INFO_RELATED_EVENTS partition 0: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:08.792424  179064 kafka_exporter.go:413] Cannot get current offset of topic OMOF_PERSON_INFO_BATCH partition 0: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:08.802830  179064 kafka_exporter.go:425] Cannot get oldest offset of topic OMOF_ELECFENSEDETECT_INFO_RELATED_EVENTS_LINKAGE partition 0: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:08.829609  179064 kafka_exporter.go:425] Cannot get oldest offset of topic OMOF_DOORACCESS_INFO_RELATED_EVENTS_LINKAGE partition 0: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:08.829793  179064 kafka_exporter.go:425] Cannot get oldest offset of topic OMOF_CAMERA_INFO_T partition 0: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:08.844913  179064 kafka_exporter.go:425] Cannot get oldest offset of topic OMOF_DOORACCESS_INFO_RELATED_EVENTS partition 0: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:08.845512  179064 kafka_exporter.go:425] Cannot get oldest offset of topic OMOF_ENCODER_INFO_BATCH_FERRY partition 0: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:08.856308  179064 kafka_exporter.go:425] Cannot get oldest offset of topic OMOF_WIFI_INFO partition 0: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:08.866400  179064 kafka_exporter.go:425] Cannot get oldest offset of topic OMOF_VEHICLE_BARRIER_INFO_RELATED_EVENTS partition 0: dial tcp 192.168.32.2:9094: connect: connection refused
